yandex|Yandex Bots
stackrambler|Stack Rambler
Mail.Ru|Mail.RU Bots
google|Google Bots
msnbot|Bing
bing|Bing
Slurp|Yahoo! Bot
add|Add robots
crawler|Crawlers
search|Search bot
spider|Spiders
libwww-perl|Perl robots
wget|Wget
java|Java
bot|
scanner|Scanners
ia_archiver|Alexa
checker|Checkers
link|Link robots
php|PHP robots
rss|RSS bots
url|Url robots
project|Any projects
XML|XML bots
LWP|Perl robots
refer|
Validator|Validators
porn|Spam robots
TNX|Xap robots
Xap Spider|Xap robots
www|
site|
http|
